Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
235,James Johnson,PF,35,IND,12,1,8.2,0.8,2.3,0.37,0.3,0.8,0.3,0.6,1.4,0.412,0.426,0.3,0.3,0.75,0.2,1.2,1.3,0.6,0.3,0.4,0.4,2,2.2,johnsja01
236,Keldon Johnson,SF,23,SAS,55,55,32.7,7.9,17.5,0.45,2.1,6.5,0.32,5.8,11,0.526,0.509,4.1,5.3,0.769,0.8,4,4.8,2.8,0.7,0.2,2.1,1.9,21.8,johnske04
237,Keon Johnson,SG,20,POR,32,0,9.8,1.6,4.2,0.37,0.7,1.9,0.361,0.9,2.3,0.378,0.452,0.4,0.7,0.571,0.3,0.8,1.1,1.1,0.4,0.1,1,1.1,4.2,johnske07
238,Stanley Johnson,SF,26,SAS,30,0,15.6,2.2,4.1,0.533,0.6,1.3,0.45,1.6,2.7,0.573,0.607,0.9,1.3,0.667,0.7,2.4,3.2,2.2,0.5,0.2,1.1,1.6,5.8,johnsst04
239,Nikola Jokić,C,27,DEN,55,55,33.6,9.4,14.8,0.633,0.8,2.1,0.398,8.6,12.8,0.671,0.661,5,6.1,0.822,2.3,9.4,11.7,10,1.3,0.7,3.6,2.6,24.6,jokicni01
240,Carlik Jones,PG,25,CHI,2,0,11.5,0.5,2.5,0.2,0,0.5,0,0.5,2,0.25,0.2,0.5,2,0.25,0.5,1,1.5,1,0,0,0.5,0.5,1.5,jonesca03
241,Damian Jones,C,27,TOT,24,1,8.2,1,1.7,0.561,0,0.1,0,1,1.6,0.605,0.561,0.7,0.9,0.727,0.8,1.8,2.6,0.2,0.1,0.6,0.4,0.9,2.6,jonesda03
241,Damian Jones,C,27,LAL,22,1,8,0.9,1.7,0.541,0,0.1,0,0.9,1.5,0.588,0.541,0.7,0.9,0.75,0.8,1.7,2.5,0.2,0.1,0.5,0.4,0.8,2.5,jonesda03
241,Damian Jones,C,27,UTA,2,0,10.5,1.5,2,0.75,0,0,,1.5,2,0.75,0.75,0.5,1,0.5,1,2.5,3.5,0.5,0,1,0.5,2,3.5,jonesda03
242,Derrick Jones Jr.,SF,25,CHI,48,0,14.7,1.8,3.6,0.506,0.4,1.1,0.327,1.5,2.5,0.588,0.557,1.1,1.4,0.794,1,1.5,2.5,0.6,0.5,0.6,0.4,1.4,5.2,jonesde02
243,Herbert Jones,SF,24,NOP,47,47,28.7,3.3,7.6,0.44,0.7,2.5,0.286,2.6,5.1,0.517,0.487,2,2.6,0.748,1.4,2.5,3.9,2.1,1.6,0.7,1.3,3.2,9.4,joneshe01
244,Kai Jones,C,22,CHO,30,0,9,1.1,2.1,0.54,0.1,0.4,0.25,1,1.7,0.608,0.563,0.3,0.5,0.714,0.7,1.3,2,0.2,0.3,0.4,0.3,1.1,2.7,joneska01
245,Tre Jones,PG,23,SAS,52,52,29.3,4.9,11.3,0.436,0.7,2.5,0.265,4.3,8.8,0.486,0.466,2.2,2.5,0.891,0.8,2.8,3.6,6.3,1.3,0.2,1.8,1.4,12.8,jonestr01
246,Tyus Jones,PG,26,MEM,61,9,22.8,3.7,8.5,0.431,1.5,3.9,0.376,2.2,4.6,0.479,0.517,1,1.2,0.806,0.4,1.8,2.2,4.5,1,0.1,0.9,0.4,9.7,jonesty01
247,DeAndre Jordan,C,34,DEN,34,5,14.6,2.2,2.8,0.771,0,0,1,2.1,2.8,0.768,0.776,0.5,1.2,0.439,1.2,3.7,4.9,0.9,0.2,0.6,1.2,1.9,4.9,jordade01
248,Cory Joseph,PG,31,DET,44,2,16.2,1.7,4.3,0.387,0.6,2,0.315,1,2.3,0.451,0.461,0.7,0.9,0.769,0.2,1.1,1.4,3.2,0.5,0.1,0.7,1.5,4.7,josepco01
249,Nikola Jović,PF,19,MIA,15,8,13.6,1.9,4.6,0.406,0.5,2.3,0.229,1.3,2.3,0.588,0.464,1.2,1.3,0.947,0.6,1.5,2.1,0.7,0.5,0.1,0.7,1.3,5.5,jovicni01
250,Johnny Juzang,SF,21,UTA,1,0,15,1,5,0.2,1,4,0.25,0,1,0,0.3,0,2,0,0,1,1,0,1,1,0,1,3,juzanjo01
251,Mfiondu Kabengele,PF,25,BOS,2,0,7,0.5,1,0.5,0,0.5,0,0.5,0.5,1,0.5,0,0,,1.5,1,2.5,0,0,0,0.5,1.5,1,kabenmf01
252,Frank Kaminsky,C,29,TOT,31,0,6.7,0.8,1.7,0.491,0.4,0.9,0.393,0.5,0.8,0.6,0.594,0.5,0.5,0.875,0.1,1.3,1.4,0.9,0.2,0.1,0.3,0.7,2.5,kaminfr01
252,Frank Kaminsky,C,29,ATL,26,0,6.8,1,1.7,0.568,0.4,0.9,0.478,0.5,0.8,0.667,0.693,0.4,0.5,0.833,0.1,1.3,1.4,0.8,0.2,0,0.3,0.8,2.7,kaminfr01
252,Frank Kaminsky,C,29,HOU,5,0,6.4,0.2,1.8,0.111,0,1,0,0.2,0.8,0.25,0.111,0.8,0.8,1,0.2,1.4,1.6,1.4,0.2,0.4,0,0.2,1.2,kaminfr01
253,Trevor Keels,SG,19,NYK,2,0,2,0.5,1.5,0.333,0.5,1.5,0.333,0,0,,0.5,0,0,,0,1,1,0,0,0,0,0,1.5,keelstr01
254,Luke Kennard,SG,26,TOT,40,11,20.9,2.7,5.9,0.451,1.7,3.8,0.444,1,2.1,0.464,0.595,0.6,0.6,0.958,0.2,2.1,2.3,1.1,0.5,0.1,0.8,1.4,7.6,kennalu01
254,Luke Kennard,SG,26,LAC,35,11,20.7,2.8,6,0.464,1.7,3.8,0.447,1.1,2.3,0.494,0.604,0.5,0.6,0.95,0.2,2.2,2.4,1.1,0.5,0.1,0.9,1.3,7.8,kennalu01
254,Luke Kennard,SG,26,MEM,5,0,22,1.8,5.2,0.346,1.8,4.2,0.429,0,1,0,0.519,0.8,0.8,1,0.2,1.4,1.6,1.4,0.2,0,0.4,1.6,6.2,kennalu01
255,Walker Kessler,C,21,UTA,60,26,21.8,3.6,5,0.709,0,0,1,3.6,5,0.708,0.71,1.1,2,0.533,3,5.1,8,0.8,0.4,2.2,0.8,2.3,8.2,kesslwa01
256,Braxton Key,SF,25,DET,3,0,3,0.3,0.3,1,0,0,,0.3,0.3,1,1,0.7,0.7,1,0,0.3,0.3,0,0,0,0,0,1.3,keybr01
257,Corey Kispert,SF,23,WAS,53,32,26.9,3.2,6.8,0.475,1.8,4.5,0.412,1.4,2.3,0.597,0.61,1,1.1,0.864,0.4,2.3,2.7,1.2,0.6,0.1,0.7,1.3,9.3,kispeco01
258,Maxi Kleber,C,31,DAL,23,0,25.6,2.4,4.8,0.5,1.1,2.9,0.373,1.3,1.9,0.698,0.614,0.5,0.7,0.688,0.8,2.6,3.4,1,0.3,1,0.6,2.2,6.3,klebima01
259,Nathan Knight,PF,25,MIN,34,0,8.1,1.3,2.2,0.573,0.2,0.6,0.381,1,1.6,0.648,0.627,1.1,1.6,0.679,0.6,0.9,1.5,0.4,0.3,0.2,0.6,1.1,3.8,knighna01
260,Kevin Knox,PF-SF,23,TOT,47,1,13.1,1.8,3.9,0.462,0.9,2.6,0.358,0.9,1.4,0.656,0.579,0.6,0.7,0.8,0.5,1.9,2.4,0.3,0.3,0.3,0.7,1.7,5.1,knoxke01
260,Kevin Knox,PF,23,DET,42,1,14.1,2,4.3,0.469,1,2.8,0.371,1,1.5,0.651,0.589,0.6,0.8,0.788,0.5,2.1,2.6,0.4,0.3,0.3,0.8,1.8,5.6,knoxke01
260,Kevin Knox,SF,23,POR,5,0,4.8,0.2,1,0.2,0,0.8,0,0.2,0.2,1,0.2,0.4,0.4,1,0.4,0.4,0.8,0,0,0,0,1,0.8,knoxke01
261,Christian Koloko,C,22,TOR,46,19,14.4,1.3,2.7,0.484,0,0.2,0.111,1.3,2.5,0.513,0.488,0.8,1.2,0.66,1.5,1.7,3.2,0.5,0.3,1,0.4,2.4,3.4,kolokch01
262,John Konchar,SG,26,MEM,53,22,21.8,2.1,4.9,0.433,1,2.8,0.363,1.1,2.2,0.522,0.534,0.4,0.5,0.852,0.8,3.7,4.5,1.4,1,0.2,0.5,1.5,5.7,konchjo01
263,Furkan Korkmaz,SG,25,PHI,25,0,10.2,1.3,3.1,0.41,0.5,1.4,0.343,0.8,1.7,0.465,0.487,0.8,1.2,0.655,0.2,0.9,1.2,0.7,0.2,0.1,0.6,0.4,3.8,korkmfu01
